humanID,opponent,turn,condition,cooperation
lrxzfkdz,ppo,0,human,1
lrxzfkdz,ppo,1,human,2
lrxzfkdz,ppo,2,human,2
lrxzfkdz,ppo,3,human,1
lrxzfkdz,ppo,4,human,1
lrxzfkdz,ppo,5,human,1
lrxzfkdz,ppo,6,human,2
lrxzfkdz,ppo,7,human,1
lrxzfkdz,ppo,8,human,2
lrxzfkdz,ppo,9,human,2
lrxzfkdz,ppo,0,human,1
lrxzfkdz,ppo,1,human,2
lrxzfkdz,ppo,2,human,1
lrxzfkdz,ppo,3,human,1
lrxzfkdz,ppo,4,human,1
lrxzfkdz,ppo,5,human,1
lrxzfkdz,ppo,6,human,2
lrxzfkdz,ppo,7,human,2
lrxzfkdz,ppo,8,human,1
lrxzfkdz,ppo,9,human,1
lrxzfkdz,ppo,0,human,1
lrxzfkdz,ppo,1,human,1
lrxzfkdz,ppo,2,human,1
lrxzfkdz,ppo,3,human,2
lrxzfkdz,ppo,4,human,2
lrxzfkdz,ppo,5,human,2
lrxzfkdz,ppo,6,human,1
lrxzfkdz,ppo,7,human,2
lrxzfkdz,ppo,8,human,1
lrxzfkdz,ppo,9,human,2
xryeez,ppo,0,human,1
xryeez,ppo,1,human,1
xryeez,ppo,2,human,1
xryeez,ppo,3,human,1
xryeez,ppo,4,human,1
xryeez,ppo,5,human,1
xryeez,ppo,6,human,1
xryeez,ppo,7,human,1
xryeez,ppo,8,human,1
xryeez,ppo,9,human,2
xryeez,ppo,0,human,2
xryeez,ppo,1,human,1
xryeez,ppo,2,human,1
xryeez,ppo,3,human,2
xryeez,ppo,4,human,2
xryeez,ppo,5,human,1
xryeez,ppo,6,human,1
xryeez,ppo,7,human,2
xryeez,ppo,8,human,2
xryeez,ppo,9,human,1
xryeez,ppo,0,human,1
xryeez,ppo,1,human,2
xryeez,ppo,2,human,1
xryeez,ppo,3,human,1
xryeez,ppo,4,human,2
xryeez,ppo,5,human,2
xryeez,ppo,6,human,1
xryeez,ppo,7,human,2
xryeez,ppo,8,human,1
xryeez,ppo,9,human,2
xryeez,ppo,0,human,1
xryeez,ppo,1,human,1
xryeez,ppo,2,human,1
xryeez,ppo,3,human,1
xryeez,ppo,4,human,1
xryeez,ppo,5,human,1
xryeez,ppo,6,human,1
xryeez,ppo,7,human,1
xryeez,ppo,8,human,1
xryeez,ppo,9,human,2
xryeez,ppo,0,human,2
xryeez,ppo,1,human,1
xryeez,ppo,2,human,1
xryeez,ppo,3,human,2
xryeez,ppo,4,human,2
xryeez,ppo,5,human,1
xryeez,ppo,6,human,1
xryeez,ppo,7,human,2
xryeez,ppo,8,human,2
xryeez,ppo,9,human,1
xryeez,ppo,0,human,1
xryeez,ppo,1,human,2
xryeez,ppo,2,human,1
xryeez,ppo,3,human,1
xryeez,ppo,4,human,2
xryeez,ppo,5,human,2
xryeez,ppo,6,human,1
xryeez,ppo,7,human,2
xryeez,ppo,8,human,1
xryeez,ppo,9,human,1
knnlfi,ppo,0,human,2
knnlfi,ppo,1,human,2
knnlfi,ppo,2,human,2
knnlfi,ppo,3,human,1
knnlfi,ppo,4,human,2
knnlfi,ppo,5,human,2
knnlfi,ppo,6,human,2
knnlfi,ppo,7,human,2
knnlfi,ppo,8,human,2
knnlfi,ppo,9,human,1
knnlfi,ppo,0,human,2
knnlfi,ppo,1,human,2
knnlfi,ppo,2,human,2
knnlfi,ppo,3,human,2
knnlfi,ppo,4,human,1
knnlfi,ppo,5,human,1
knnlfi,ppo,6,human,1
knnlfi,ppo,7,human,2
knnlfi,ppo,8,human,2
knnlfi,ppo,9,human,2
knnlfi,ppo,0,human,1
knnlfi,ppo,1,human,2
knnlfi,ppo,2,human,1
knnlfi,ppo,3,human,1
knnlfi,ppo,4,human,1
knnlfi,ppo,5,human,2
knnlfi,ppo,6,human,2
knnlfi,ppo,7,human,1
knnlfi,ppo,8,human,2
knnlfi,ppo,9,human,2
wwwbihag,ppo,0,human,2
wwwbihag,ppo,1,human,2
wwwbihag,ppo,2,human,2
wwwbihag,ppo,3,human,1
wwwbihag,ppo,4,human,2
wwwbihag,ppo,5,human,1
wwwbihag,ppo,6,human,1
wwwbihag,ppo,7,human,1
wwwbihag,ppo,8,human,2
wwwbihag,ppo,9,human,2
wwwbihag,ppo,0,human,2
wwwbihag,ppo,1,human,1
wwwbihag,ppo,2,human,2
wwwbihag,ppo,3,human,2
wwwbihag,ppo,4,human,2
wwwbihag,ppo,5,human,2
wwwbihag,ppo,6,human,2
wwwbihag,ppo,7,human,1
wwwbihag,ppo,8,human,1
wwwbihag,ppo,9,human,2
wwwbihag,ppo,0,human,1
wwwbihag,ppo,1,human,1
wwwbihag,ppo,2,human,1
wwwbihag,ppo,3,human,1
wwwbihag,ppo,4,human,2
wwwbihag,ppo,5,human,2
wwwbihag,ppo,6,human,2
wwwbihag,ppo,7,human,1
wwwbihag,ppo,8,human,2
wwwbihag,ppo,9,human,2
pkxpcydb,ppo,0,human,2
pkxpcydb,ppo,1,human,2
pkxpcydb,ppo,2,human,2
pkxpcydb,ppo,3,human,2
pkxpcydb,ppo,4,human,2
pkxpcydb,ppo,5,human,2
pkxpcydb,ppo,6,human,1
pkxpcydb,ppo,7,human,2
pkxpcydb,ppo,8,human,2
pkxpcydb,ppo,9,human,2
pkxpcydb,ppo,0,human,1
pkxpcydb,ppo,1,human,2
pkxpcydb,ppo,2,human,1
pkxpcydb,ppo,3,human,2
pkxpcydb,ppo,4,human,2
pkxpcydb,ppo,5,human,1
pkxpcydb,ppo,6,human,2
pkxpcydb,ppo,7,human,1
pkxpcydb,ppo,8,human,2
pkxpcydb,ppo,9,human,2
pkxpcydb,ppo,0,human,1
pkxpcydb,ppo,1,human,1
pkxpcydb,ppo,2,human,1
pkxpcydb,ppo,3,human,1
pkxpcydb,ppo,4,human,1
pkxpcydb,ppo,5,human,1
pkxpcydb,ppo,6,human,1
pkxpcydb,ppo,7,human,2
pkxpcydb,ppo,8,human,2
pkxpcydb,ppo,9,human,2
omjqqytt,ppo,0,human,1
omjqqytt,ppo,1,human,2
omjqqytt,ppo,2,human,2
omjqqytt,ppo,3,human,2
omjqqytt,ppo,4,human,1
omjqqytt,ppo,5,human,2
omjqqytt,ppo,6,human,1
omjqqytt,ppo,7,human,2
omjqqytt,ppo,8,human,2
omjqqytt,ppo,9,human,1
omjqqytt,ppo,0,human,1
omjqqytt,ppo,1,human,1
omjqqytt,ppo,2,human,1
omjqqytt,ppo,3,human,1
omjqqytt,ppo,4,human,1
omjqqytt,ppo,5,human,1
omjqqytt,ppo,6,human,1
omjqqytt,ppo,7,human,2
omjqqytt,ppo,8,human,1
omjqqytt,ppo,9,human,1
omjqqytt,ppo,0,human,1
omjqqytt,ppo,1,human,2
omjqqytt,ppo,2,human,2
omjqqytt,ppo,3,human,1
omjqqytt,ppo,4,human,1
omjqqytt,ppo,5,human,2
omjqqytt,ppo,6,human,1
