humanID,opponent,turn,condition,cooperation
pndzuadn,dqn,0,ai,4
pndzuadn,dqn,1,ai,4
pndzuadn,dqn,2,ai,3
pndzuadn,dqn,3,ai,4
pndzuadn,dqn,4,ai,3
pndzuadn,dqn,5,ai,3
pndzuadn,dqn,6,ai,4
pndzuadn,dqn,7,ai,4
pndzuadn,dqn,8,ai,4
pndzuadn,dqn,9,ai,4
pndzuadn,dqn,0,ai,4
pndzuadn,dqn,1,ai,4
pndzuadn,dqn,2,ai,4
pndzuadn,dqn,3,ai,4
pndzuadn,dqn,4,ai,4
pndzuadn,dqn,5,ai,4
pndzuadn,dqn,6,ai,4
pndzuadn,dqn,7,ai,4
pndzuadn,dqn,8,ai,4
pndzuadn,dqn,9,ai,4
pndzuadn,dqn,0,ai,4
pndzuadn,dqn,1,ai,4
pndzuadn,dqn,2,ai,4
pndzuadn,dqn,3,ai,4
pndzuadn,dqn,4,ai,4
pndzuadn,dqn,5,ai,4
pndzuadn,dqn,6,ai,4
pndzuadn,dqn,7,ai,4
pndzuadn,dqn,8,ai,4
pndzuadn,dqn,9,ai,4
dvxcczhd,ppo,0,human,1
dvxcczhd,ppo,1,human,1
dvxcczhd,ppo,2,human,1
dvxcczhd,ppo,3,human,3
dvxcczhd,ppo,4,human,2
dvxcczhd,ppo,5,human,4
dvxcczhd,ppo,6,human,2
dvxcczhd,ppo,7,human,4
dvxcczhd,ppo,8,human,2
dvxcczhd,ppo,9,human,4
dvxcczhd,ppo,0,human,2
dvxcczhd,ppo,1,human,2
dvxcczhd,ppo,2,human,2
dvxcczhd,ppo,3,human,2
dvxcczhd,ppo,4,human,4
dvxcczhd,ppo,5,human,4
dvxcczhd,ppo,6,human,4
dvxcczhd,ppo,7,human,2
dvxcczhd,ppo,8,human,4
dvxcczhd,ppo,9,human,4
dvxcczhd,ppo,0,human,2
dvxcczhd,ppo,1,human,2
dvxcczhd,ppo,2,human,2
dvxcczhd,ppo,3,human,4
dvxcczhd,ppo,4,human,2
dvxcczhd,ppo,5,human,4
dvxcczhd,ppo,6,human,2
dvxcczhd,ppo,7,human,2
dvxcczhd,ppo,8,human,2
