humanID,opponent,condition,human_selfish_A,AI_selfish_A,coordination_selfish_A,non_coordination_selfish_A,human_altruistic_A,AI_altruistic_A,coordination_altruistic_A,non_coordination_altruistic_A,human_selfish_B,AI_selfish_B,coordination_selfish_B,non_coordination_selfish_B,human_altruistic_B,AI_altruistic_B,coordination_altruistic_B,non_coordination_altruistic_B,human_selfish_C,AI_selfish_C,coordination_selfish_C,non_coordination_selfish_C,human_altruistic_C,AI_altruistic_C,coordination_altruistic_C,non_coordination_altruistic_C,human_selfish_cum,human_selfish_average,AI_selfish_cum,AI_selfish_average,coordination_selfish_cum,coordination_selfish_average,non_coordination_selfish_cum,non_coordination_selfish_average,human_altruistic_cum,human_altruistic_average,AI_altruistic_cum,AI_altruistic_average,coordination_altruistic_cum,coordination_altruistic_average,non_coordination_altruistic_cum,non_coordination_altruistic_average
vdtwbpdf,ppo,human,5,6,3,2,5,4,2,3,7,5,4,3,3,5,2,1,6,6,4,2,4,4,2,2,18,6.0,17,5.666666666666667,11,3.6666666666666665,7,2.3333333333333335,12,4.0,13,4.333333333333333,6,2.0,6,2.0
jkdqjono,ppo,human,7,6,5,2,3,4,2,1,10,7,7,3,0,3,0,0,10,5,5,5,0,5,0,0,27,9.0,18,6.0,17,5.666666666666667,10,3.3333333333333335,3,1.0,12,4.0,2,0.6666666666666666,1,0.3333333333333333
ifouyk,ppo,human,10,6,6,4,0,4,0,0,10,5,5,5,0,5,0,0,10,9,9,1,0,1,0,0,30,10.0,20,6.666666666666667,20,6.666666666666667,10,3.3333333333333335,0,0.0,10,3.3333333333333335,0,0.0,0,0.0
lidwdcq,ppo,human,8,3,2,6,2,7,1,1,10,6,6,4,0,4,0,0,10,6,6,4,0,4,0,0,28,9.333333333333334,15,5.0,14,4.666666666666667,14,4.666666666666667,2,0.6666666666666666,15,5.0,1,0.3333333333333333,1,0.3333333333333333
jjujocjm,ppo,human,7,4,1,6,3,6,0,3,7,6,4,3,3,4,1,2,9,5,4,5,1,5,0,1,23,7.666666666666667,15,5.0,9,3.0,14,4.666666666666667,7,2.3333333333333335,15,5.0,1,0.3333333333333333,6,2.0
swbzs,ppo,human,6,7,5,1,4,3,2,2,8,6,5,3,2,4,1,1,10,5,5,5,0,5,0,0,24,8.0,18,6.0,15,5.0,9,3.0,6,2.0,12,4.0,3,1.0,3,1.0
rnygetiq,ppo,human,9,7,6,3,1,3,0,1,9,6,6,3,1,4,1,0,10,5,5,5,0,5,0,0,28,9.333333333333334,18,6.0,17,5.666666666666667,11,3.6666666666666665,2,0.6666666666666666,12,4.0,1,0.3333333333333333,1,0.3333333333333333
khcyhtte,ppo,human,5,6,4,1,5,4,3,2,7,2,1,6,3,8,2,1,6,4,3,3,4,6,3,1,18,6.0,12,4.0,8,2.6666666666666665,10,3.3333333333333335,12,4.0,18,6.0,8,2.6666666666666665,4,1.3333333333333333
prfsnldi,ppo,human,4,7,4,0,6,3,3,3,2,4,2,0,8,6,6,2,4,6,3,1,6,4,3,3,10,3.3333333333333335,17,5.666666666666667,9,3.0,1,0.3333333333333333,20,6.666666666666667,13,4.333333333333333,12,4.0,8,2.6666666666666665
rmwbyt,ppo,human,7,6,4,3,3,4,1,2,8,6,5,3,2,4,1,1,8,6,4,4,2,4,0,2,23,7.666666666666667,18,6.0,13,4.333333333333333,10,3.3333333333333335,7,2.3333333333333335,12,4.0,2,0.6666666666666666,5,1.6666666666666667
iasqlbob,ppo,human,5,7,4,1,5,3,2,3,10,4,4,6,0,6,0,0,7,5,5,2,3,5,3,0,22,7.333333333333333,16,5.333333333333333,13,4.333333333333333,9,3.0,8,2.6666666666666665,14,4.666666666666667,5,1.6666666666666667,3,1.0
gwbcdrgl,ppo,human,4,5,3,1,6,5,4,2,10,6,6,4,0,4,0,0,10,5,5,5,0,5,0,0,24,8.0,16,5.333333333333333,14,4.666666666666667,10,3.3333333333333335,6,2.0,14,4.666666666666667,4,1.3333333333333333,2,0.6666666666666666
apbzvwmi,ppo,human,5,5,2,3,5,5,2,3,3,8,3,0,7,2,2,5,9,6,5,4,1,4,0,1,17,5.666666666666667,19,6.333333333333333,10,3.3333333333333335,7,2.3333333333333335,13,4.333333333333333,11,3.6666666666666665,4,1.3333333333333333,9,3.0
fqwsbdr,ppo,human,10,7,7,3,0,3,0,0,10,8,8,2,0,2,0,0,10,5,5,5,0,5,0,0,30,10.0,20,6.666666666666667,20,6.666666666666667,10,3.3333333333333335,0,0.0,10,3.3333333333333335,0,0.0,0,0.0
wlvxbuny,ppo,human,3,5,2,1,7,5,4,3,7,6,5,2,3,4,2,1,6,4,3,3,4,6,3,1,16,5.333333333333333,15,5.0,10,3.3333333333333335,6,2.0,14,4.666666666666667,15,5.0,9,3.0,5,1.6666666666666667
cwgufgub,ppo,human,7,6,4,3,3,4,1,2,9,7,6,3,1,3,0,1,8,4,2,6,2,6,0,2,24,8.0,17,5.666666666666667,12,4.0,12,4.0,6,2.0,13,4.333333333333333,1,0.3333333333333333,5,1.6666666666666667
alwqklx,ppo,human,9,6,6,3,1,4,1,0,10,6,6,4,0,4,0,0,10,6,6,4,0,4,0,0,29,9.666666666666666,18,6.0,18,6.0,11,3.6666666666666665,1,0.3333333333333333,12,4.0,1,0.3333333333333333,0,0.0
wvoutea,ppo,human,1,5,0,1,9,5,4,5,10,5,5,5,0,5,0,0,10,4,4,6,0,6,0,0,21,7.0,14,4.666666666666667,9,3.0,12,4.0,9,3.0,16,5.333333333333333,4,1.3333333333333333,5,1.6666666666666667
yrdkmoq,ppo,human,5,4,2,3,5,6,3,2,3,8,3,0,7,2,2,5,4,8,3,1,6,2,1,5,12,4.0,20,6.666666666666667,8,2.6666666666666665,4,1.3333333333333333,18,6.0,10,3.3333333333333335,6,2.0,12,4.0
