participantID,ai-type,turn,team-expectation,cooperation (dependent variable)
vdtwbpdf,ppo,0,human,4
vdtwbpdf,ppo,1,human,1
vdtwbpdf,ppo,2,human,2
vdtwbpdf,ppo,3,human,3
vdtwbpdf,ppo,4,human,2
vdtwbpdf,ppo,5,human,4
vdtwbpdf,ppo,6,human,3
vdtwbpdf,ppo,7,human,3
vdtwbpdf,ppo,8,human,1
vdtwbpdf,ppo,9,human,4
vdtwbpdf,ppo,0,human,4
vdtwbpdf,ppo,1,human,3
vdtwbpdf,ppo,2,human,2
vdtwbpdf,ppo,3,human,2
vdtwbpdf,ppo,4,human,1
vdtwbpdf,ppo,5,human,1
vdtwbpdf,ppo,6,human,4
vdtwbpdf,ppo,7,human,2
vdtwbpdf,ppo,8,human,4
vdtwbpdf,ppo,9,human,4
vdtwbpdf,ppo,0,human,1
vdtwbpdf,ppo,1,human,4
vdtwbpdf,ppo,2,human,2
vdtwbpdf,ppo,3,human,4
vdtwbpdf,ppo,4,human,3
vdtwbpdf,ppo,5,human,1
vdtwbpdf,ppo,6,human,4
vdtwbpdf,ppo,7,human,4
vdtwbpdf,ppo,8,human,3
vdtwbpdf,ppo,9,human,2
jkdqjono,ppo,0,human,1
jkdqjono,ppo,1,human,1
jkdqjono,ppo,2,human,3
jkdqjono,ppo,3,human,4
jkdqjono,ppo,4,human,4
jkdqjono,ppo,5,human,2
jkdqjono,ppo,6,human,2
jkdqjono,ppo,7,human,4
jkdqjono,ppo,8,human,4
jkdqjono,ppo,9,human,4
jkdqjono,ppo,0,human,4
jkdqjono,ppo,1,human,4
jkdqjono,ppo,2,human,2
jkdqjono,ppo,3,human,2
jkdqjono,ppo,4,human,4
jkdqjono,ppo,5,human,4
jkdqjono,ppo,6,human,2
jkdqjono,ppo,7,human,4
jkdqjono,ppo,8,human,4
jkdqjono,ppo,9,human,4
jkdqjono,ppo,0,human,4
jkdqjono,ppo,1,human,2
jkdqjono,ppo,2,human,4
jkdqjono,ppo,3,human,2
jkdqjono,ppo,4,human,4
jkdqjono,ppo,5,human,4
jkdqjono,ppo,6,human,2
jkdqjono,ppo,7,human,2
jkdqjono,ppo,8,human,2
jkdqjono,ppo,9,human,4
ifouyk,ppo,0,human,2
ifouyk,ppo,1,human,4
ifouyk,ppo,2,human,4
ifouyk,ppo,3,human,2
ifouyk,ppo,4,human,4
ifouyk,ppo,5,human,2
ifouyk,ppo,6,human,4
ifouyk,ppo,7,human,2
ifouyk,ppo,8,human,4
ifouyk,ppo,9,human,4
ifouyk,ppo,0,human,4
ifouyk,ppo,1,human,2
ifouyk,ppo,2,human,4
ifouyk,ppo,3,human,2
ifouyk,ppo,4,human,4
ifouyk,ppo,5,human,2
ifouyk,ppo,6,human,2
ifouyk,ppo,7,human,2
ifouyk,ppo,8,human,4
ifouyk,ppo,9,human,4
ifouyk,ppo,0,human,4
ifouyk,ppo,1,human,4
ifouyk,ppo,2,human,4
ifouyk,ppo,3,human,4
ifouyk,ppo,4,human,4
ifouyk,ppo,5,human,4
ifouyk,ppo,6,human,4
ifouyk,ppo,7,human,4
ifouyk,ppo,8,human,4
ifouyk,ppo,9,human,2
lidwdcq,ppo,0,human,1
lidwdcq,ppo,1,human,3
lidwdcq,ppo,2,human,2
lidwdcq,ppo,3,human,2
lidwdcq,ppo,4,human,4
lidwdcq,ppo,5,human,2
lidwdcq,ppo,6,human,2
lidwdcq,ppo,7,human,2
lidwdcq,ppo,8,human,2
lidwdcq,ppo,9,human,4
lidwdcq,ppo,0,human,2
lidwdcq,ppo,1,human,2
lidwdcq,ppo,2,human,2
lidwdcq,ppo,3,human,4
lidwdcq,ppo,4,human,4
lidwdcq,ppo,5,human,4
lidwdcq,ppo,6,human,4
lidwdcq,ppo,7,human,2
lidwdcq,ppo,8,human,4
lidwdcq,ppo,9,human,4
lidwdcq,ppo,0,human,2
lidwdcq,ppo,1,human,4
lidwdcq,ppo,2,human,4
lidwdcq,ppo,3,human,2
lidwdcq,ppo,4,human,4
lidwdcq,ppo,5,human,2
lidwdcq,ppo,6,human,4
lidwdcq,ppo,7,human,2
lidwdcq,ppo,8,human,4
lidwdcq,ppo,9,human,4
jjujocjm,ppo,0,human,3
jjujocjm,ppo,1,human,3
jjujocjm,ppo,2,human,4
jjujocjm,ppo,3,human,2
jjujocjm,ppo,4,human,2
jjujocjm,ppo,5,human,3
jjujocjm,ppo,6,human,2
jjujocjm,ppo,7,human,2
jjujocjm,ppo,8,human,2
jjujocjm,ppo,9,human,2
jjujocjm,ppo,0,human,1
jjujocjm,ppo,1,human,3
jjujocjm,ppo,2,human,4
jjujocjm,ppo,3,human,2
jjujocjm,ppo,4,human,3
jjujocjm,ppo,5,human,2
jjujocjm,ppo,6,human,2
jjujocjm,ppo,7,human,4
jjujocjm,ppo,8,human,4
jjujocjm,ppo,9,human,4
jjujocjm,ppo,0,human,2
jjujocjm,ppo,1,human,3
jjujocjm,ppo,2,human,4
jjujocjm,ppo,3,human,2
jjujocjm,ppo,4,human,2
jjujocjm,ppo,5,human,4
jjujocjm,ppo,6,human,2
jjujocjm,ppo,7,human,4
jjujocjm,ppo,8,human,4
jjujocjm,ppo,9,human,2
swbzs,ppo,0,human,1
swbzs,ppo,1,human,3
swbzs,ppo,2,human,1
swbzs,ppo,3,human,3
swbzs,ppo,4,human,4
swbzs,ppo,5,human,4
swbzs,ppo,6,human,4
swbzs,ppo,7,human,4
swbzs,ppo,8,human,4
swbzs,ppo,9,human,2
swbzs,ppo,0,human,1
swbzs,ppo,1,human,4
swbzs,ppo,2,human,3
swbzs,ppo,3,human,2
swbzs,ppo,4,human,2
swbzs,ppo,5,human,2
swbzs,ppo,6,human,4
swbzs,ppo,7,human,4
swbzs,ppo,8,human,4
swbzs,ppo,9,human,4
swbzs,ppo,0,human,2
swbzs,ppo,1,human,4
swbzs,ppo,2,human,4
swbzs,ppo,3,human,4
swbzs,ppo,4,human,2
swbzs,ppo,5,human,2
swbzs,ppo,6,human,4
swbzs,ppo,7,human,2
swbzs,ppo,8,human,2
swbzs,ppo,9,human,4
rnygetiq,ppo,0,human,2
rnygetiq,ppo,1,human,4
rnygetiq,ppo,2,human,3
rnygetiq,ppo,3,human,2
rnygetiq,ppo,4,human,4
rnygetiq,ppo,5,human,4
rnygetiq,ppo,6,human,2
rnygetiq,ppo,7,human,4
rnygetiq,ppo,8,human,4
rnygetiq,ppo,9,human,4
rnygetiq,ppo,0,human,1
rnygetiq,ppo,1,human,4
rnygetiq,ppo,2,human,2
rnygetiq,ppo,3,human,4
rnygetiq,ppo,4,human,2
rnygetiq,ppo,5,human,2
rnygetiq,ppo,6,human,4
rnygetiq,ppo,7,human,4
rnygetiq,ppo,8,human,4
rnygetiq,ppo,9,human,4
rnygetiq,ppo,0,human,2
rnygetiq,ppo,1,human,2
rnygetiq,ppo,2,human,2
rnygetiq,ppo,3,human,4
rnygetiq,ppo,4,human,4
rnygetiq,ppo,5,human,4
rnygetiq,ppo,6,human,4
rnygetiq,ppo,7,human,4
rnygetiq,ppo,8,human,2
rnygetiq,ppo,9,human,2
khcyhtte,ppo,0,human,4
khcyhtte,ppo,1,human,1
khcyhtte,ppo,2,human,3
khcyhtte,ppo,3,human,2
khcyhtte,ppo,4,human,4
khcyhtte,ppo,5,human,1
khcyhtte,ppo,6,human,4
khcyhtte,ppo,7,human,1
khcyhtte,ppo,8,human,4
khcyhtte,ppo,9,human,3
khcyhtte,ppo,0,human,4
khcyhtte,ppo,1,human,1
khcyhtte,ppo,2,human,2
khcyhtte,ppo,3,human,3
khcyhtte,ppo,4,human,2
khcyhtte,ppo,5,human,2
khcyhtte,ppo,6,human,1
khcyhtte,ppo,7,human,2
khcyhtte,ppo,8,human,2
khcyhtte,ppo,9,human,2
khcyhtte,ppo,0,human,1
khcyhtte,ppo,1,human,3
khcyhtte,ppo,2,human,2
khcyhtte,ppo,3,human,2
khcyhtte,ppo,4,human,1
khcyhtte,ppo,5,human,1
khcyhtte,ppo,6,human,4
khcyhtte,ppo,7,human,2
khcyhtte,ppo,8,human,4
khcyhtte,ppo,9,human,4
prfsnldi,ppo,0,human,3
prfsnldi,ppo,1,human,4
prfsnldi,ppo,2,human,1
prfsnldi,ppo,3,human,3
prfsnldi,ppo,4,human,4
prfsnldi,ppo,5,human,1
prfsnldi,ppo,6,human,1
prfsnldi,ppo,7,human,4
prfsnldi,ppo,8,human,4
prfsnldi,ppo,9,human,3
prfsnldi,ppo,0,human,1
prfsnldi,ppo,1,human,1
prfsnldi,ppo,2,human,1
prfsnldi,ppo,3,human,3
prfsnldi,ppo,4,human,3
prfsnldi,ppo,5,human,4
prfsnldi,ppo,6,human,4
prfsnldi,ppo,7,human,1
prfsnldi,ppo,8,human,1
prfsnldi,ppo,9,human,1
prfsnldi,ppo,0,human,3
prfsnldi,ppo,1,human,4
prfsnldi,ppo,2,human,3
prfsnldi,ppo,3,human,3
prfsnldi,ppo,4,human,4
prfsnldi,ppo,5,human,4
prfsnldi,ppo,6,human,1
prfsnldi,ppo,7,human,1
prfsnldi,ppo,8,human,1
prfsnldi,ppo,9,human,2
rmwbyt,ppo,0,human,3
rmwbyt,ppo,1,human,2
rmwbyt,ppo,2,human,4
rmwbyt,ppo,3,human,2
rmwbyt,ppo,4,human,4
rmwbyt,ppo,5,human,4
rmwbyt,ppo,6,human,1
rmwbyt,ppo,7,human,2
rmwbyt,ppo,8,human,3
rmwbyt,ppo,9,human,4
rmwbyt,ppo,0,human,2
rmwbyt,ppo,1,human,2
rmwbyt,ppo,2,human,2
rmwbyt,ppo,3,human,4
rmwbyt,ppo,4,human,3
rmwbyt,ppo,5,human,4
rmwbyt,ppo,6,human,4
rmwbyt,ppo,7,human,4
rmwbyt,ppo,8,human,4
rmwbyt,ppo,9,human,1
rmwbyt,ppo,0,human,3
rmwbyt,ppo,1,human,3
rmwbyt,ppo,2,human,4
rmwbyt,ppo,3,human,2
rmwbyt,ppo,4,human,2
rmwbyt,ppo,5,human,2
rmwbyt,ppo,6,human,4
