
Random ID,Duration (in seconds),"Please enter the code you received at the end of the game. Please ensure the code you enter here matches the code given to you by the game, if the codes do not match you will be unable to receive payment.",Select the choice that is second to the furthest right.,How mentally demanding was the task?,How physically demanding was the task?,How hurried or rushed was the pace of the task?,How successful were you in accomplishing what you were asked to do?,Select the choice that is all the way left.,How hard did you have to work to accomplish your level of performance?,"How insecure, discouraged, irritated, stressed, and annoyed were you?",I am optimistic towards artificial intelligence.,I am experienced working with artificial intelligence.,I have a positive relationship with technology.,Select the middle answer choice.,I would prefer working with a human rather than an AI.,I felt my teammate and I had a shared understanding of our teamwork.,I tried to cooperate with my teammate during the task.,My team member was cooperative during the task.,My teammate and I were cooperative during the task.,You must select the answer choice that states somewhat agree.,My teammate and I worked effectively during the task.,My teammate and I worked together better at the end of the task than at the beginning.,I am satisfied with my performance.,I am satisfied with my teammate's performance.,I would work with my teammate on another task.,I felt I was the leader during our collaboration.,I trust my teammate in acting in our mutual best interest.,I reacted aggressively towards my teammate.,My teammate reacted aggressively towards me.,I would like to be able to communicate with my teammate.,Our performance would benefit from?,What is your age?,What race are you?,What is your gender?,"Type the response ""human"".","What is the highest degree or level of school you have completed? (If you're currently enrolled in school, please state the highest degree you have received)"
"{""ImportId"":""Random ID""}","{""ImportId"":""duration""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID36""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID35""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID37""}","{""ImportId"":""QID13""}","{""ImportId"":""QID16""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID19""}","{""ImportId"":""QID38""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30_TEXT""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID39_TEXT""}","{""ImportId"":""QID34""}"
4893,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7065,976,fwvijobf,1,-2,0,1,2,-2,0,-1,1,1,0,0,1,1,1,1,1,1,1,2,2,2,1,0,0,0,1,1,yes.very useful,18 - 25,Indian,Female,human,"Masters degree (MA, MS, MEd)"
7894,501,whjtdld,-1,1,2,0,1,-2,1,0,1,2,1,0,1,1,0,2,1,1,2,0,1,2,1,2,1,2,1,0,Interesting,26-35,Caucasian,Male,human,"Masters degree (MA, MS, MEd)"
8567,286,hnltesdi,1,-2,-2,-2,2,-2,1,-2,1,1,2,0,1,-1,1,2,1,1,2,1,1,1,1,-1,1,1,1,1,Yes,26-35,Caucasian,Female,human,"Bachelor's degree (BA, BS)"
7306,106,oaweaonv,1,1,2,1,1,-1,1,0,1,2,1,0,1,1,2,2,1,1,2,2,1,1,2,2,1,0,1,2,VERY NICE,26-35,Indian,Male,HUMAN,"Bachelor's degree (BA, BS)"
7476,301,rwycmhms,1,1,-1,0,1,-2,1,0,1,0,1,0,1,1,0,1,0,1,0,1,1,0,1,1,0,1,1,1,YES,26-35,Caucasian,Male,human,"Bachelor's degree (BA, BS)"
2919,46,bvgecdc,2,0,0,-1,0,-2,0,1,0,0,-1,0,1,1,0,-1,0,1,-1,-1,0,1,0,-1,0,-1,0,1,not sure,26-35,Caucasian,Male,human,"Masters degree (MA, MS, MEd)"
1653,88,qlva,1,0,-1,0,1,-2,0,1,1,1,0,1,2,0,1,0,1,1,0,1,1,1,0,1,2,2,1,1,n/a,26-35,Caucasian,Male,human,"Bachelor's degree (BA, BS)"
7583,87,khilkbnf,0,1,2,1,0,-2,1,2,1,0,2,0,1,1,0,1,0,1,1,0,2,1,0,1,1,0,1,1,Nop,26-35,Caucasian,Male,human,"Bachelor's degree (BA, BS)"
4984,72,dvxcczhd,2,-2,-2,0,1,-2,0,-1,1,-1,1,0,0,1,1,0,0,-1,0,1,1,0,0,-1,0,-2,-2,1,communication and the ability to chat with each other,26-35,Caucasian,Male,human,"Bachelor's degree (BA, BS)"
3170,95,suseoolg,2,-2,-2,0,1,-2,-1,-2,1,0,1,0,0,1,1,1,1,1,1,-2,1,0,0,-1,1,-2,-2,0,Being able to communicate.,26-35,Caucasian,Male,human,Some college
9337,104,mmnakws,1,-1,-2,-2,1,-2,-2,-2,1,-1,1,0,-1,1,2,2,2,1,1,-1,2,2,2,-1,2,-2,-2,1,nothing comes to mind,36 - 45,Caucasian,Male,human,"Bachelor's degree (BA, BS)"
1724,87,nnxyimq,2,1,0,-2,1,0,-1,2,-1,-2,1,0,0,2,-1,0,2,-2,-1,2,0,-1,0,2,0,1,2,-1,yes,26-35,Asian,Male,human,"Bachelor's degree (BA, BS)"
7835,113,grrvjo,2,-2,-2,-2,2,-2,-2,-2,2,0,2,0,0,2,2,2,2,1,2,-2,2,2,2,0,2,-2,-2,1,Nothing,26-35,Caucasian,Male,human,Associates degree (AA)
2055,94,ajagqhrj,1,-2,-2,-1,-2,-2,-1,0,1,2,1,0,1,-2,1,-1,-1,1,-2,-2,-2,-2,-2,-2,-2,1,2,1,Fewer attention check questions.,18 - 25,Caucasian,Male,human,"Bachelor's degree (BA, BS)"
4741,48,ahccujxn,0,1,1,0,1,-2,1,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1,0,0,1,0,1,Nothing,36 - 45,Caucasian,Male,human,"Bachelor's degree (BA, BS)"
4936,101,qaphrcvm,1,-2,-2,-2,0,-2,-1,-2,1,-1,2,0,0,-1,-1,-1,-1,1,-1,-2,0,-1,-1,-2,-2,2,1,-1,an ability to talk to each other so we can agree on some sort of terms.,26-35,Caucasian,Male,human,"Bachelor's degree (BA, BS)"
8989,151,bjogjpdp,1,2,2,-2,2,-2,2,-2,1,0,1,0,1,2,1,2,1,1,0,2,2,1,1,1,2,1,1,2,GAME THEORY ,26-35,Caucasian,Male,human,"Masters degree (MA, MS, MEd)"
9784,74,iknmj,2,0,-2,-1,1,-2,0,-1,1,0,1,0,1,-1,2,0,0,1,0,1,1,0,0,1,-1,-1,0,0,cooperation,18 - 25,Caucasian,Female,human,"Bachelor's degree (BA, BS)"
